title,company,location,apply_link
Data Analyst,HexaHealth,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-hexahealth-4404563387?position=20&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=dBZzwMmwDhYCmFDJkbJPrg%3D%3D
Data Analyst,super.money,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-super-money-4391816210?position=21&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=8dexocNHjESPHeet3Pygng%3D%3D
Data Analyst,Fusemachines,"Pune Division, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-fusemachines-4335416842?position=22&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=EKBPjFkgK9yNiMFL9UYMUg%3D%3D
Data Analyst,FedEx,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-analyst-at-fedex-4371029910?position=23&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=7PQscUlkkn84goZYty%2BNCA%3D%3D
Data Analyst,SourceFuse,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/data-analyst-at-sourcefuse-4404272130?position=24&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=0K%2BYHxhVydOEO9H9W%2FBApw%3D%3D
Operations Data Analyst,Thiess,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/operations-data-analyst-at-thiess-4402937793?position=25&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=v3ryUUcoasKi3gMzZsldyA%3D%3D
Data Analyst,PINKVILLA,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-pinkvilla-4403933570?position=26&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=Xn8UoE1DB74Da9pzjc5pJg%3D%3D
Data Analyst,Wiley,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-analyst-at-wiley-4381748256?position=27&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=qp4ldP4XTTc%2FAJrNDtpQfQ%3D%3D
Data Analyst,Midtown Software,"Chandigarh, India",https://in.linkedin.com/jobs/view/data-analyst-at-midtown-software-4372509916?position=28&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=%2FKN3XerosPM58BGcy7DGFw%3D%3D
Data Analyst,Infosys,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-infosys-4405077501?position=29&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=u56gc%2FaOA9XCzF0FGJym%2Bw%3D%3D
Data Logger,SLB,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-logger-at-slb-4401622282?position=30&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=sVCKj7qjMMqMVO6meLdSfA%3D%3D
Data Analyst,Citi,"Haryana, India",https://in.linkedin.com/jobs/view/data-analyst-at-citi-4398192348?position=31&pageNum=0&refId=waoK9RQrmDUxkx2AZMlLOw%3D%3D&trackingId=OYQS8gk3E%2FfqFZOwjJNr%2FQ%3D%3D
